"elec_demand_ER","elec_demand_NER","elec_demand_NR","elec_demand_SR","elec_demand_WR"
30077.9576749463,2361.42940993603,55336.8244821356,59843.0660003901,70579.839114326
29430.1020390365,2668.9074171668,55151.5935736627,55682.1355380181,66843.9944553431
31649.795573998,3033.61972045269,52771.6207003838,52729.3028570849,66644.2771354619
31411.5544921673,2921.38088729482,52268.6109314169,52063.6175400386,63680.9143130501
31363.5691939876,2846.25563999856,51656.4437512007,51309.3277252503,62971.9534060404
31288.5609502884,2626.55594060765,50695.5888950776,51135.0176780845,62806.7934694435
30287.058276516,2333.70839487062,47593.6967817531,50591.8898517831,60530.3333731475
29530.5348670406,2163.78905995147,45651.6537226998,49398.247960329,59162.8224192115
29456.4175713318,1989.77965705945,44291.1370751905,49397.2257212073,58799.8976399856
28363.1572437821,1892.51576672267,43074.4330616666,48402.5721257313,57445.5520923186
27882.3343455744,1822.93450306104,42260.2493565224,47539.5342222052,56775.4610607294
27639.4867983299,1784.26901828726,41852.7619996721,47007.3907266509,56638.8837378916
27402.0636600056,1773.16196245114,41535.2584281158,47225.5486505499,56241.6108376736
26775.890088627,1891.07275717014,41656.31338773,48470.4935452242,57085.7633959028
26135.6687364284,2079.92234892339,43238.4752704859,52975.2385972967,61502.5751924691
28195.3085314383,2268.04616644746,48672.4401963899,56465.883202136,64276.6737318485
28699.9910307909,2207.06872495438,50706.963634229,59374.9024689164,67521.6195311611
29066.0991416934,2160.59498475019,51994.6070526903,63268.1843238108,68801.4093342366
29561.9861250308,2130.26693184231,55755.6118290025,64944.5765738991,71449.7656521673
29977.7654434137,2184.60682745577,55734.0096238539,65716.1054790139,71914.17506974
30264.6946358332,2204.53664085416,54625.5575603756,65570.804491773,71441.861922946
30319.2885047664,2217.22068460712,54388.0739398658,64920.7245351501,71558.121228455
30596.1147310499,2246.28383855633,55113.3298277089,65092.5864471229,72314.0114728213
30634.1961614097,2260.82359858356,55160.3166431752,63154.9533203727,72014.3939404843
30077.9576749463,2361.42940993603,55336.8244821356,59843.0660003901,70579.839114326
29430.1020390365,2668.9074171668,55151.5935736627,55682.1355380181,66843.9944553431
31649.795573998,3033.61972045269,52771.6207003838,52729.3028570849,66644.2771354619
31411.5544921673,2921.38088729482,52268.6109314169,52063.6175400386,63680.9143130501
31363.5691939876,2846.25563999856,51656.4437512007,51309.3277252503,62971.9534060404
31288.5609502884,2626.55594060765,50695.5888950776,51135.0176780845,62806.7934694435
30287.058276516,2333.70839487062,47593.6967817531,50591.8898517831,60530.3333731475
29530.5348670406,2163.78905995147,45651.6537226998,49398.247960329,59162.8224192115
29456.4175713318,1989.77965705945,44291.1370751905,49397.2257212073,58799.8976399856
28363.1572437821,1892.51576672267,43074.4330616666,48402.5721257313,57445.5520923186
27882.3343455744,1822.93450306104,42260.2493565224,47539.5342222052,56775.4610607294
27639.4867983299,1784.26901828726,41852.7619996721,47007.3907266509,56638.8837378916
27402.0636600056,1773.16196245114,41535.2584281158,47225.5486505499,56241.6108376736
26775.890088627,1891.07275717014,41656.31338773,48470.4935452242,57085.7633959028
26135.6687364284,2079.92234892339,43238.4752704859,52975.2385972967,61502.5751924691
28195.3085314383,2268.04616644746,48672.4401963899,56465.883202136,64276.6737318485
28699.9910307909,2207.06872495438,50706.963634229,59374.9024689164,67521.6195311611
29066.0991416934,2160.59498475019,51994.6070526903,63268.1843238108,68801.4093342366
29561.9861250308,2130.26693184231,55755.6118290025,64944.5765738991,71449.7656521673
29977.7654434137,2184.60682745577,55734.0096238539,65716.1054790139,71914.17506974
30264.6946358332,2204.53664085416,54625.5575603756,65570.804491773,71441.861922946
30319.2885047664,2217.22068460712,54388.0739398658,64920.7245351501,71558.121228455
30596.1147310499,2246.28383855633,55113.3298277089,65092.5864471229,72314.0114728213
30634.1961614097,2260.82359858356,55160.3166431752,63154.9533203727,72014.3939404843
30077.9576749463,2361.42940993603,55336.8244821356,59843.0660003901,70579.839114326
29430.1020390365,2668.9074171668,55151.5935736627,55682.1355380181,66843.9944553431
31649.795573998,3033.61972045269,52771.6207003838,52729.3028570849,66644.2771354619
31411.5544921673,2921.38088729482,52268.6109314169,52063.6175400386,63680.9143130501
31363.5691939876,2846.25563999856,51656.4437512007,51309.3277252503,62971.9534060404
31288.5609502884,2626.55594060765,50695.5888950776,51135.0176780845,62806.7934694435
30287.058276516,2333.70839487062,47593.6967817531,50591.8898517831,60530.3333731475
29530.5348670406,2163.78905995147,45651.6537226998,49398.247960329,59162.8224192115
29456.4175713318,1989.77965705945,44291.1370751905,49397.2257212073,58799.8976399856
28363.1572437821,1892.51576672267,43074.4330616666,48402.5721257313,57445.5520923186
27882.3343455744,1822.93450306104,42260.2493565224,47539.5342222052,56775.4610607294
27639.4867983299,1784.26901828726,41852.7619996721,47007.3907266509,56638.8837378916
27402.0636600056,1773.16196245114,41535.2584281158,47225.5486505499,56241.6108376736
26775.890088627,1891.07275717014,41656.31338773,48470.4935452242,57085.7633959028
26135.6687364284,2079.92234892339,43238.4752704859,52975.2385972967,61502.5751924691
28195.3085314383,2268.04616644746,48672.4401963899,56465.883202136,64276.6737318485
28699.9910307909,2207.06872495438,50706.963634229,59374.9024689164,67521.6195311611
29066.0991416934,2160.59498475019,51994.6070526903,63268.1843238108,68801.4093342366
29561.9861250308,2130.26693184231,55755.6118290025,64944.5765738991,71449.7656521673
29977.7654434137,2184.60682745577,55734.0096238539,65716.1054790139,71914.17506974
30264.6946358332,2204.53664085416,54625.5575603756,65570.804491773,71441.861922946
30319.2885047664,2217.22068460712,54388.0739398658,64920.7245351501,71558.121228455
30596.1147310499,2246.28383855633,55113.3298277089,65092.5864471229,72314.0114728213
30634.1961614097,2260.82359858356,55160.3166431752,63154.9533203727,72014.3939404843
30077.9576749463,2361.42940993603,55336.8244821356,59843.0660003901,70579.839114326
29430.1020390365,2668.9074171668,55151.5935736627,55682.1355380181,66843.9944553431
31649.795573998,3033.61972045269,52771.6207003838,52729.3028570849,66644.2771354619
31411.5544921673,2921.38088729482,52268.6109314169,52063.6175400386,63680.9143130501
31363.5691939876,2846.25563999856,51656.4437512007,51309.3277252503,62971.9534060404
31288.5609502884,2626.55594060765,50695.5888950776,51135.0176780845,62806.7934694435
30287.058276516,2333.70839487062,47593.6967817531,50591.8898517831,60530.3333731475
29530.5348670406,2163.78905995147,45651.6537226998,49398.247960329,59162.8224192115
29456.4175713318,1989.77965705945,44291.1370751905,49397.2257212073,58799.8976399856
28363.1572437821,1892.51576672267,43074.4330616666,48402.5721257313,57445.5520923186
27882.3343455744,1822.93450306104,42260.2493565224,47539.5342222052,56775.4610607294
27639.4867983299,1784.26901828726,41852.7619996721,47007.3907266509,56638.8837378916
27402.0636600056,1773.16196245114,41535.2584281158,47225.5486505499,56241.6108376736
26775.890088627,1891.07275717014,41656.31338773,48470.4935452242,57085.7633959028
26135.6687364284,2079.92234892339,43238.4752704859,52975.2385972967,61502.5751924691
28195.3085314383,2268.04616644746,48672.4401963899,56465.883202136,64276.6737318485
28699.9910307909,2207.06872495438,50706.963634229,59374.9024689164,67521.6195311611
29066.0991416934,2160.59498475019,51994.6070526903,63268.1843238108,68801.4093342366
29561.9861250308,2130.26693184231,55755.6118290025,64944.5765738991,71449.7656521673
29977.7654434137,2184.60682745577,55734.0096238539,65716.1054790139,71914.17506974
30264.6946358332,2204.53664085416,54625.5575603756,65570.804491773,71441.861922946
30319.2885047664,2217.22068460712,54388.0739398658,64920.7245351501,71558.121228455
30596.1147310499,2246.28383855633,55113.3298277089,65092.5864471229,72314.0114728213
30634.1961614097,2260.82359858356,55160.3166431752,63154.9533203727,72014.3939404843
30077.9576749463,2361.42940993603,55336.8244821356,59843.0660003901,70579.839114326
29430.1020390365,2668.9074171668,55151.5935736627,55682.1355380181,66843.9944553431
31649.795573998,3033.61972045269,52771.6207003838,52729.3028570849,66644.2771354619
31411.5544921673,2921.38088729482,52268.6109314169,52063.6175400386,63680.9143130501
31363.5691939876,2846.25563999856,51656.4437512007,51309.3277252503,62971.9534060404
31288.5609502884,2626.55594060765,50695.5888950776,51135.0176780845,62806.7934694435
30287.058276516,2333.70839487062,47593.6967817531,50591.8898517831,60530.3333731475
29530.5348670406,2163.78905995147,45651.6537226998,49398.247960329,59162.8224192115
29456.4175713318,1989.77965705945,44291.1370751905,49397.2257212073,58799.8976399856
28363.1572437821,1892.51576672267,43074.4330616666,48402.5721257313,57445.5520923186
27882.3343455744,1822.93450306104,42260.2493565224,47539.5342222052,56775.4610607294
27639.4867983299,1784.26901828726,41852.7619996721,47007.3907266509,56638.8837378916
27402.0636600056,1773.16196245114,41535.2584281158,47225.5486505499,56241.6108376736
26775.890088627,1891.07275717014,41656.31338773,48470.4935452242,57085.7633959028
26135.6687364284,2079.92234892339,43238.4752704859,52975.2385972967,61502.5751924691
28195.3085314383,2268.04616644746,48672.4401963899,56465.883202136,64276.6737318485
28699.9910307909,2207.06872495438,50706.963634229,59374.9024689164,67521.6195311611
29066.0991416934,2160.59498475019,51994.6070526903,63268.1843238108,68801.4093342366
29561.9861250308,2130.26693184231,55755.6118290025,64944.5765738991,71449.7656521673
29977.7654434137,2184.60682745577,55734.0096238539,65716.1054790139,71914.17506974
30264.6946358332,2204.53664085416,54625.5575603756,65570.804491773,71441.861922946
30319.2885047664,2217.22068460712,54388.0739398658,64920.7245351501,71558.121228455
30596.1147310499,2246.28383855633,55113.3298277089,65092.5864471229,72314.0114728213
30634.1961614097,2260.82359858356,55160.3166431752,63154.9533203727,72014.3939404843
30077.9576749463,2361.42940993603,55336.8244821356,59843.0660003901,70579.839114326
29430.1020390365,2668.9074171668,55151.5935736627,55682.1355380181,66843.9944553431
31649.795573998,3033.61972045269,52771.6207003838,52729.3028570849,66644.2771354619
31411.5544921673,2921.38088729482,52268.6109314169,52063.6175400386,63680.9143130501
31363.5691939876,2846.25563999856,51656.4437512007,51309.3277252503,62971.9534060404
31288.5609502884,2626.55594060765,50695.5888950776,51135.0176780845,62806.7934694435
30287.058276516,2333.70839487062,47593.6967817531,50591.8898517831,60530.3333731475
29530.5348670406,2163.78905995147,45651.6537226998,49398.247960329,59162.8224192115
29456.4175713318,1989.77965705945,44291.1370751905,49397.2257212073,58799.8976399856
28363.1572437821,1892.51576672267,43074.4330616666,48402.5721257313,57445.5520923186
27882.3343455744,1822.93450306104,42260.2493565224,47539.5342222052,56775.4610607294
27639.4867983299,1784.26901828726,41852.7619996721,47007.3907266509,56638.8837378916
27402.0636600056,1773.16196245114,41535.2584281158,47225.5486505499,56241.6108376736
26775.890088627,1891.07275717014,41656.31338773,48470.4935452242,57085.7633959028
26135.6687364284,2079.92234892339,43238.4752704859,52975.2385972967,61502.5751924691
28195.3085314383,2268.04616644746,48672.4401963899,56465.883202136,64276.6737318485
28699.9910307909,2207.06872495438,50706.963634229,59374.9024689164,67521.6195311611
29066.0991416934,2160.59498475019,51994.6070526903,63268.1843238108,68801.4093342366
29561.9861250308,2130.26693184231,55755.6118290025,64944.5765738991,71449.7656521673
29977.7654434137,2184.60682745577,55734.0096238539,65716.1054790139,71914.17506974
30264.6946358332,2204.53664085416,54625.5575603756,65570.804491773,71441.861922946
30319.2885047664,2217.22068460712,54388.0739398658,64920.7245351501,71558.121228455
30596.1147310499,2246.28383855633,55113.3298277089,65092.5864471229,72314.0114728213
30634.1961614097,2260.82359858356,55160.3166431752,63154.9533203727,72014.3939404843
30077.9576749463,2361.42940993603,55336.8244821356,59843.0660003901,70579.839114326
29430.1020390365,2668.9074171668,55151.5935736627,55682.1355380181,66843.9944553431
31649.795573998,3033.61972045269,52771.6207003838,52729.3028570849,66644.2771354619
31411.5544921673,2921.38088729482,52268.6109314169,52063.6175400386,63680.9143130501
31363.5691939876,2846.25563999856,51656.4437512007,51309.3277252503,62971.9534060404
31288.5609502884,2626.55594060765,50695.5888950776,51135.0176780845,62806.7934694435
30287.058276516,2333.70839487062,47593.6967817531,50591.8898517831,60530.3333731475
29530.5348670406,2163.78905995147,45651.6537226998,49398.247960329,59162.8224192115
29456.4175713318,1989.77965705945,44291.1370751905,49397.2257212073,58799.8976399856
28363.1572437821,1892.51576672267,43074.4330616666,48402.5721257313,57445.5520923186
27882.3343455744,1822.93450306104,42260.2493565224,47539.5342222052,56775.4610607294
27639.4867983299,1784.26901828726,41852.7619996721,47007.3907266509,56638.8837378916
27402.0636600056,1773.16196245114,41535.2584281158,47225.5486505499,56241.6108376736
26775.890088627,1891.07275717014,41656.31338773,48470.4935452242,57085.7633959028
26135.6687364284,2079.92234892339,43238.4752704859,52975.2385972967,61502.5751924691
28195.3085314383,2268.04616644746,48672.4401963899,56465.883202136,64276.6737318485
28699.9910307909,2207.06872495438,50706.963634229,59374.9024689164,67521.6195311611
29066.0991416934,2160.59498475019,51994.6070526903,63268.1843238108,68801.4093342366
29561.9861250308,2130.26693184231,55755.6118290025,64944.5765738991,71449.7656521673
29977.7654434137,2184.60682745577,55734.0096238539,65716.1054790139,71914.17506974
30264.6946358332,2204.53664085416,54625.5575603756,65570.804491773,71441.861922946
30319.2885047664,2217.22068460712,54388.0739398658,64920.7245351501,71558.121228455
30596.1147310499,2246.28383855633,55113.3298277089,65092.5864471229,72314.0114728213
30634.1961614097,2260.82359858356,55160.3166431752,63154.9533203727,72014.3939404843
30077.9576749463,2361.42940993603,55336.8244821356,59843.0660003901,70579.839114326
29430.1020390365,2668.9074171668,55151.5935736627,55682.1355380181,66843.9944553431
31649.795573998,3033.61972045269,52771.6207003838,52729.3028570849,66644.2771354619
31411.5544921673,2921.38088729482,52268.6109314169,52063.6175400386,63680.9143130501
31363.5691939876,2846.25563999856,51656.4437512007,51309.3277252503,62971.9534060404
31288.5609502884,2626.55594060765,50695.5888950776,51135.0176780845,62806.7934694435
30287.058276516,2333.70839487062,47593.6967817531,50591.8898517831,60530.3333731475
29530.5348670406,2163.78905995147,45651.6537226998,49398.247960329,59162.8224192115
29456.4175713318,1989.77965705945,44291.1370751905,49397.2257212073,58799.8976399856
28363.1572437821,1892.51576672267,43074.4330616666,48402.5721257313,57445.5520923186
27882.3343455744,1822.93450306104,42260.2493565224,47539.5342222052,56775.4610607294
27639.4867983299,1784.26901828726,41852.7619996721,47007.3907266509,56638.8837378916
27402.0636600056,1773.16196245114,41535.2584281158,47225.5486505499,56241.6108376736
26775.890088627,1891.07275717014,41656.31338773,48470.4935452242,57085.7633959028
26135.6687364284,2079.92234892339,43238.4752704859,52975.2385972967,61502.5751924691
28195.3085314383,2268.04616644746,48672.4401963899,56465.883202136,64276.6737318485
28699.9910307909,2207.06872495438,50706.963634229,59374.9024689164,67521.6195311611
29066.0991416934,2160.59498475019,51994.6070526903,63268.1843238108,68801.4093342366
29561.9861250308,2130.26693184231,55755.6118290025,64944.5765738991,71449.7656521673
29977.7654434137,2184.60682745577,55734.0096238539,65716.1054790139,71914.17506974
30264.6946358332,2204.53664085416,54625.5575603756,65570.804491773,71441.861922946
30319.2885047664,2217.22068460712,54388.0739398658,64920.7245351501,71558.121228455
30596.1147310499,2246.28383855633,55113.3298277089,65092.5864471229,72314.0114728213
30634.1961614097,2260.82359858356,55160.3166431752,63154.9533203727,72014.3939404843
30077.9576749463,2361.42940993603,55336.8244821356,59843.0660003901,70579.839114326
29430.1020390365,2668.9074171668,55151.5935736627,55682.1355380181,66843.9944553431
31649.795573998,3033.61972045269,52771.6207003838,52729.3028570849,66644.2771354619
31411.5544921673,2921.38088729482,52268.6109314169,52063.6175400386,63680.9143130501
31363.5691939876,2846.25563999856,51656.4437512007,51309.3277252503,62971.9534060404
31288.5609502884,2626.55594060765,50695.5888950776,51135.0176780845,62806.7934694435
30287.058276516,2333.70839487062,47593.6967817531,50591.8898517831,60530.3333731475
29530.5348670406,2163.78905995147,45651.6537226998,49398.247960329,59162.8224192115
29456.4175713318,1989.77965705945,44291.1370751905,49397.2257212073,58799.8976399856
28363.1572437821,1892.51576672267,43074.4330616666,48402.5721257313,57445.5520923186
27882.3343455744,1822.93450306104,42260.2493565224,47539.5342222052,56775.4610607294
27639.4867983299,1784.26901828726,41852.7619996721,47007.3907266509,56638.8837378916
27402.0636600056,1773.16196245114,41535.2584281158,47225.5486505499,56241.6108376736
26775.890088627,1891.07275717014,41656.31338773,48470.4935452242,57085.7633959028
26135.6687364284,2079.92234892339,43238.4752704859,52975.2385972967,61502.5751924691
28195.3085314383,2268.04616644746,48672.4401963899,56465.883202136,64276.6737318485
28699.9910307909,2207.06872495438,50706.963634229,59374.9024689164,67521.6195311611
29066.0991416934,2160.59498475019,51994.6070526903,63268.1843238108,68801.4093342366
29561.9861250308,2130.26693184231,55755.6118290025,64944.5765738991,71449.7656521673
29977.7654434137,2184.60682745577,55734.0096238539,65716.1054790139,71914.17506974
30264.6946358332,2204.53664085416,54625.5575603756,65570.804491773,71441.861922946
30319.2885047664,2217.22068460712,54388.0739398658,64920.7245351501,71558.121228455
30596.1147310499,2246.28383855633,55113.3298277089,65092.5864471229,72314.0114728213
30634.1961614097,2260.82359858356,55160.3166431752,63154.9533203727,72014.3939404843
30077.9576749463,2361.42940993603,55336.8244821356,59843.0660003901,70579.839114326
29430.1020390365,2668.9074171668,55151.5935736627,55682.1355380181,66843.9944553431
31649.795573998,3033.61972045269,52771.6207003838,52729.3028570849,66644.2771354619
31411.5544921673,2921.38088729482,52268.6109314169,52063.6175400386,63680.9143130501
31363.5691939876,2846.25563999856,51656.4437512007,51309.3277252503,62971.9534060404
31288.5609502884,2626.55594060765,50695.5888950776,51135.0176780845,62806.7934694435
30287.058276516,2333.70839487062,47593.6967817531,50591.8898517831,60530.3333731475
29530.5348670406,2163.78905995147,45651.6537226998,49398.247960329,59162.8224192115
29456.4175713318,1989.77965705945,44291.1370751905,49397.2257212073,58799.8976399856
28363.1572437821,1892.51576672267,43074.4330616666,48402.5721257313,57445.5520923186
27882.3343455744,1822.93450306104,42260.2493565224,47539.5342222052,56775.4610607294
27639.4867983299,1784.26901828726,41852.7619996721,47007.3907266509,56638.8837378916
27402.0636600056,1773.16196245114,41535.2584281158,47225.5486505499,56241.6108376736
26775.890088627,1891.07275717014,41656.31338773,48470.4935452242,57085.7633959028
26135.6687364284,2079.92234892339,43238.4752704859,52975.2385972967,61502.5751924691
28195.3085314383,2268.04616644746,48672.4401963899,56465.883202136,64276.6737318485
28699.9910307909,2207.06872495438,50706.963634229,59374.9024689164,67521.6195311611
29066.0991416934,2160.59498475019,51994.6070526903,63268.1843238108,68801.4093342366
29561.9861250308,2130.26693184231,55755.6118290025,64944.5765738991,71449.7656521673
29977.7654434137,2184.60682745577,55734.0096238539,65716.1054790139,71914.17506974
30264.6946358332,2204.53664085416,54625.5575603756,65570.804491773,71441.861922946
30319.2885047664,2217.22068460712,54388.0739398658,64920.7245351501,71558.121228455
30596.1147310499,2246.28383855633,55113.3298277089,65092.5864471229,72314.0114728213
30634.1961614097,2260.82359858356,55160.3166431752,63154.9533203727,72014.3939404843
30077.9576749463,2361.42940993603,55336.8244821356,59843.0660003901,70579.839114326
29430.1020390365,2668.9074171668,55151.5935736627,55682.1355380181,66843.9944553431
31649.795573998,3033.61972045269,52771.6207003838,52729.3028570849,66644.2771354619
31411.5544921673,2921.38088729482,52268.6109314169,52063.6175400386,63680.9143130501
31363.5691939876,2846.25563999856,51656.4437512007,51309.3277252503,62971.9534060404
31288.5609502884,2626.55594060765,50695.5888950776,51135.0176780845,62806.7934694435
30287.058276516,2333.70839487062,47593.6967817531,50591.8898517831,60530.3333731475
29530.5348670406,2163.78905995147,45651.6537226998,49398.247960329,59162.8224192115
29456.4175713318,1989.77965705945,44291.1370751905,49397.2257212073,58799.8976399856
28363.1572437821,1892.51576672267,43074.4330616666,48402.5721257313,57445.5520923186
27882.3343455744,1822.93450306104,42260.2493565224,47539.5342222052,56775.4610607294
27639.4867983299,1784.26901828726,41852.7619996721,47007.3907266509,56638.8837378916
27402.0636600056,1773.16196245114,41535.2584281158,47225.5486505499,56241.6108376736
26775.890088627,1891.07275717014,41656.31338773,48470.4935452242,57085.7633959028
26135.6687364284,2079.92234892339,43238.4752704859,52975.2385972967,61502.5751924691
28195.3085314383,2268.04616644746,48672.4401963899,56465.883202136,64276.6737318485
28699.9910307909,2207.06872495438,50706.963634229,59374.9024689164,67521.6195311611
29066.0991416934,2160.59498475019,51994.6070526903,63268.1843238108,68801.4093342366
29561.9861250308,2130.26693184231,55755.6118290025,64944.5765738991,71449.7656521673
29977.7654434137,2184.60682745577,55734.0096238539,65716.1054790139,71914.17506974
30264.6946358332,2204.53664085416,54625.5575603756,65570.804491773,71441.861922946
30319.2885047664,2217.22068460712,54388.0739398658,64920.7245351501,71558.121228455
30596.1147310499,2246.28383855633,55113.3298277089,65092.5864471229,72314.0114728213
30634.1961614097,2260.82359858356,55160.3166431752,63154.9533203727,72014.3939404843
30077.9576749463,2361.42940993603,55336.8244821356,59843.0660003901,70579.839114326
29430.1020390365,2668.9074171668,55151.5935736627,55682.1355380181,66843.9944553431
31649.795573998,3033.61972045269,52771.6207003838,52729.3028570849,66644.2771354619
31411.5544921673,2921.38088729482,52268.6109314169,52063.6175400386,63680.9143130501
31363.5691939876,2846.25563999856,51656.4437512007,51309.3277252503,62971.9534060404
31288.5609502884,2626.55594060765,50695.5888950776,51135.0176780845,62806.7934694435
30287.058276516,2333.70839487062,47593.6967817531,50591.8898517831,60530.3333731475
29530.5348670406,2163.78905995147,45651.6537226998,49398.247960329,59162.8224192115
29456.4175713318,1989.77965705945,44291.1370751905,49397.2257212073,58799.8976399856
28363.1572437821,1892.51576672267,43074.4330616666,48402.5721257313,57445.5520923186
27882.3343455744,1822.93450306104,42260.2493565224,47539.5342222052,56775.4610607294
27639.4867983299,1784.26901828726,41852.7619996721,47007.3907266509,56638.8837378916
27402.0636600056,1773.16196245114,41535.2584281158,47225.5486505499,56241.6108376736
26775.890088627,1891.07275717014,41656.31338773,48470.4935452242,57085.7633959028
26135.6687364284,2079.92234892339,43238.4752704859,52975.2385972967,61502.5751924691
28195.3085314383,2268.04616644746,48672.4401963899,56465.883202136,64276.6737318485
28699.9910307909,2207.06872495438,50706.963634229,59374.9024689164,67521.6195311611
29066.0991416934,2160.59498475019,51994.6070526903,63268.1843238108,68801.4093342366
29561.9861250308,2130.26693184231,55755.6118290025,64944.5765738991,71449.7656521673
29977.7654434137,2184.60682745577,55734.0096238539,65716.1054790139,71914.17506974
30264.6946358332,2204.53664085416,54625.5575603756,65570.804491773,71441.861922946
30319.2885047664,2217.22068460712,54388.0739398658,64920.7245351501,71558.121228455
30596.1147310499,2246.28383855633,55113.3298277089,65092.5864471229,72314.0114728213
30634.1961614097,2260.82359858356,55160.3166431752,63154.9533203727,72014.3939404843
30077.9576749463,2361.42940993603,55336.8244821356,59843.0660003901,70579.839114326
29430.1020390365,2668.9074171668,55151.5935736627,55682.1355380181,66843.9944553431
31649.795573998,3033.61972045269,52771.6207003838,52729.3028570849,66644.2771354619
31411.5544921673,2921.38088729482,52268.6109314169,52063.6175400386,63680.9143130501
31363.5691939876,2846.25563999856,51656.4437512007,51309.3277252503,62971.9534060404
31288.5609502884,2626.55594060765,50695.5888950776,51135.0176780845,62806.7934694435
30287.058276516,2333.70839487062,47593.6967817531,50591.8898517831,60530.3333731475
29530.5348670406,2163.78905995147,45651.6537226998,49398.247960329,59162.8224192115
29456.4175713318,1989.77965705945,44291.1370751905,49397.2257212073,58799.8976399856
28363.1572437821,1892.51576672267,43074.4330616666,48402.5721257313,57445.5520923186
27882.3343455744,1822.93450306104,42260.2493565224,47539.5342222052,56775.4610607294
27639.4867983299,1784.26901828726,41852.7619996721,47007.3907266509,56638.8837378916
27402.0636600056,1773.16196245114,41535.2584281158,47225.5486505499,56241.6108376736
26775.890088627,1891.07275717014,41656.31338773,48470.4935452242,57085.7633959028
26135.6687364284,2079.92234892339,43238.4752704859,52975.2385972967,61502.5751924691
28195.3085314383,2268.04616644746,48672.4401963899,56465.883202136,64276.6737318485
28699.9910307909,2207.06872495438,50706.963634229,59374.9024689164,67521.6195311611
29066.0991416934,2160.59498475019,51994.6070526903,63268.1843238108,68801.4093342366
29561.9861250308,2130.26693184231,55755.6118290025,64944.5765738991,71449.7656521673
29977.7654434137,2184.60682745577,55734.0096238539,65716.1054790139,71914.17506974
30264.6946358332,2204.53664085416,54625.5575603756,65570.804491773,71441.861922946
30319.2885047664,2217.22068460712,54388.0739398658,64920.7245351501,71558.121228455
30596.1147310499,2246.28383855633,55113.3298277089,65092.5864471229,72314.0114728213
30634.1961614097,2260.82359858356,55160.3166431752,63154.9533203727,72014.3939404843
30077.9576749463,2361.42940993603,55336.8244821356,59843.0660003901,70579.839114326
29430.1020390365,2668.9074171668,55151.5935736627,55682.1355380181,66843.9944553431
31649.795573998,3033.61972045269,52771.6207003838,52729.3028570849,66644.2771354619
31411.5544921673,2921.38088729482,52268.6109314169,52063.6175400386,63680.9143130501
31363.5691939876,2846.25563999856,51656.4437512007,51309.3277252503,62971.9534060404
31288.5609502884,2626.55594060765,50695.5888950776,51135.0176780845,62806.7934694435
30287.058276516,2333.70839487062,47593.6967817531,50591.8898517831,60530.3333731475
29530.5348670406,2163.78905995147,45651.6537226998,49398.247960329,59162.8224192115
29456.4175713318,1989.77965705945,44291.1370751905,49397.2257212073,58799.8976399856
28363.1572437821,1892.51576672267,43074.4330616666,48402.5721257313,57445.5520923186
27882.3343455744,1822.93450306104,42260.2493565224,47539.5342222052,56775.4610607294
27639.4867983299,1784.26901828726,41852.7619996721,47007.3907266509,56638.8837378916
27402.0636600056,1773.16196245114,41535.2584281158,47225.5486505499,56241.6108376736
